sponsor_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
Joan B. Lovely,care,public,health,access,services,disabilities,commonwealth,program,education,safety
Michael F. Rush,town,public,safety,health,veterans,care,commonwealth,dedham,department,service
Alan Silvia,public,health,education,commonwealth,care,safety,veterans,program,property,access
William N. Brownsberger,health,access,care,public,children,protect,commonwealth,safety,education,promoting
Christina A. Minicucci,public,health,education,care,covid,access,safety,commonwealth,program,emergency
Carmine Lawrence Gentile,public,health,access,care,education,commonwealth,protect,covid,disabilities,state
Thomas M. Stanley,health,public,care,commonwealth,access,services,safety,education,program,protect
Brendan P. Crighton,public,health,care,education,access,commonwealth,promote,promoting,safety,program
Michael P. Kushmerek,health,care,public,education,commonwealth,program,services,access,promote,mental
Jessica Ann Giannino,public,health,access,care,safety,officers,commonwealth,city,cancer,promote
James K. Hawkins,health,public,education,commonwealth,access,safety,care,promote,protecting,benefits
Edward R. Philips,health,access,commonwealth,public,care,services,town,promote,emergency,education
Marcos A. Devers,health,public,education,covid,commonwealth,care,program,access,safety,promote
Sarah K. Peake,town,health,commonwealth,care,public,access,protect,safety,services,housing
Carole A. Fiola,access,education,public,care,health,state,commonwealth,program,promote,higher
Michael J. Finn,health,care,access,public,commonwealth,insurance,officers,education,community,promote
William C. Galvin,care,health,public,access,safety,police,education,services,regarding,protect
William J. Driscoll Jr.,health,care,public,protect,town,commonwealth,access,state,education,promoting
Christine P. Barber,health,public,access,care,commonwealth,city,housing,education,somerville,safety
Patrick Joseph Kearney,public,health,access,state,veterans,commonwealth,safety,education,emergency,program
Steven C. Owens,public,access,commonwealth,education,housing,health,covid,care,promote,safety
Natalie M. Blais,public,health,town,commonwealth,covid,education,access,program,state,protect
James M. Murphy,care,public,disabilities,education,health,insurance,veterans,safety,commonwealth,services
Ruth B. Balser,health,access,care,public,commonwealth,services,mental,safety,promote,education
Thomas A. Golden Jr.,care,health,public,commonwealth,services,insurance,access,promote,retirement,education
Tram T. Nguyen,health,public,access,education,care,commonwealth,safety,covid,promote,emergency
Sean Garballey,health,public,care,education,access,commonwealth,services,program,protect,children
Bruce E. Tarr,public,health,commonwealth,safety,town,state,education,care,program,special
Anne M. Gobi,commonwealth,town,health,public,access,care,department,education,services,program
Adrian C. Madaro,public,access,covid,health,care,commonwealth,education,emergency,program,safety
David K. Muradian Jr.,town,education,school,public,special,safety,state,veterans,service,benefits
Joseph D. McKenna,safety,marijuana,public,health,access,state,study,veterans,school,service
Michael S. Day,health,access,services,care,public,education,protect,veterans,treatment,commonwealth
Nick Collins,health,public,education,access,housing,commonwealth,safety,care,boston,water
Liz Miranda,health,public,access,housing,commonwealth,promote,justice,education,safety,rights
Paul J. Donato,care,city,public,children,health,school,access,education,medford,services
Richard M. Haggerty,public,education,health,veterans,commonwealth,protect,care,access,school,covid
Danillo A. Sena,public,health,commonwealth,access,care,education,protect,housing,ensure,promoting
Paul R. Feeney,public,commonwealth,health,safety,education,town,covid,benefits,care,emergency
John H. Rogers,public,health,education,care,services,covid,commonwealth,emergency,program,town
Meghan Kilcoyne,town,education,public,access,covid,police,school,lancaster,commonwealth,clinton
James M. Kelcourse,education,public,commonwealth,access,special,schools,care,veterans,improve,town
Eric P. Lesser,access,education,public,commonwealth,program,health,protect,promote,establish,safety
Lori A. Ehrlich,public,protect,health,safety,commonwealth,education,access,promote,care,protecting
Orlando Ramos,public,commonwealth,promote,education,health,communities,healthy,construction,biomass,during
Marc R. Pacheco,health,commonwealth,public,town,energy,safety,department,promote,education,leave
Michael D. Brady,health,public,care,commonwealth,education,safety,services,insurance,promote,access
Paul A. Schmid III,public,promote,commonwealth,health,agricultural,veterans,program,access,property,education
John C. Velis,public,education,health,care,program,commonwealth,veterans,emergency,services,higher
Carol A. Doherty,health,public,care,commonwealth,safety,education,emergency,program,promote,access
David F. DeCoste,veterans,public,property,housing,commonwealth,care,state,benefits,safety,access
Edward F. Coppinger,health,public,care,safety,services,access,education,commonwealth,protect,promoting
Danielle W. Gregoire,health,care,access,public,commonwealth,education,safety,protect,services,children
David Biele,care,public,safety,health,education,benefits,commonwealth,services,protect,boston
Lenny Mirra,care,covid,commonwealth,study,town,program,access,education,public,relief
Tricia Farley-Bouvier,public,health,commonwealth,education,care,access,services,promote,program,children
Frank A. Moran,health,care,public,education,safety,access,commonwealth,program,benefits,promote
Peter Capano,public,health,housing,care,covid,access,education,emergency,program,safety
Patricia A. Duffy,health,public,access,promote,education,program,safety,care,commonwealth,school
Kevin G. Honan,health,housing,access,care,public,commonwealth,education,program,covid,safety
John J. Lawn Jr.,health,care,public,commonwealth,access,safety,promote,insurance,state,program
Daniel R. Carey,public,access,education,covid,commonwealth,health,state,provide,promote,care
Russell E. Holmes,public,care,education,access,health,commonwealth,housing,program,services,promote
Brandy Fluker Oakley,public,care,protect,provide,commonwealth,promoting,education,housing,town,health
Daniel J. Ryan,health,public,commonwealth,safety,care,protect,access,promote,housing,benefits
Michael J. Moran,public,rights,establish,housing,access,care,promote,residents,education,protect
John J. Mahoney,health,commonwealth,care,public,access,promote,safety,education,protect,services
Sally P. Kerans,public,care,health,access,education,town,promote,school,workers,support
Rady Mom,public,health,commonwealth,education,safety,promote,transparency,city,lowell,construction
Chynah Tyler,access,housing,education,state,public,commonwealth,establish,promoting,program,justice
Daniel M. Donahue,health,public,promote,education,access,care,protect,commonwealth,state,safety
Paul W. Mark,public,town,health,education,commonwealth,care,program,promote,access,safety
Michelle M. DuBois,public,health,protect,commonwealth,access,education,care,safety,children,state
James Arciero,public,health,education,care,commonwealth,access,veterans,disabilities,safety,program
Marjorie C. Decker,health,access,public,care,commonwealth,services,education,promote,children,safety
Alice Hanlon Peisch,town,commonwealth,health,protect,access,education,children,care,services,special
Gerard J. Cassidy,care,public,health,education,covid,emergency,safety,services,access,program
Daniel J. Hunt,public,access,commonwealth,health,safety,education,program,protect,promote,state
Daniel Cahill,public,health,education,care,access,commonwealth,safety,promote,state,program
Rob Consalvo,care,housing,access,commonwealth,promote,boston,wage,disabilities,public,health
Smitty Pignatelli,health,public,access,town,commonwealth,education,care,program,services,promote
Joan Meschino,public,health,care,town,access,commonwealth,education,protect,promoting,rights
John Barrett III,health,care,public,access,covid,commonwealth,education,protect,emergency,promote
Sonia Chang-Diaz,commonwealth,public,health,education,promote,access,housing,youth,safety,care
Cynthia Stone Creem,health,improving,promote,access,safety,education,town,public,protection,juvenile
Christopher M. Markey,public,health,promote,commonwealth,city,bedford,care,programs,school,construction
Kathleen R. LaNatra,health,covid,town,public,care,education,commonwealth,access,promote,emergency
Josh S. Cutler,health,commonwealth,public,safety,access,services,program,care,disabilities,education
Bruce J. Ayers,health,public,care,commonwealth,city,quincy,access,insurance,safety,services
John F. Keenan,health,access,services,public,care,quincy,treatment,commonwealth,department,disabilities
Mark J. Cusack,public,services,commonwealth,health,care,disabilities,safety,protect,town,benefits
Linda Dean Campbell,veterans,public,health,education,covid,protecting,safety,school,access,commonwealth
Alyson M. Sullivan,public,safety,marijuana,officers,during,covid,victims,commonwealth,prohibiting,police
Claire D. Cronin,health,care,access,public,commonwealth,services,education,program,protect,safety
Edward J. Kennedy,public,education,commonwealth,town,safety,food,access,lowell,higher,promote
Barry R. Finegold,town,health,care,public,education,safety,commonwealth,access,students,andover
Lydia Edwards,access,care,housing,health,public,promoting,services,commonwealth,program,promote
Thomas P. Walsh,health,education,access,care,public,commonwealth,programs,requiring,protecting,transparency
Danillo Sena,town,establish,acton,grant,public,program,access,harvard,license,sale
Tackey Chan,care,public,health,commonwealth,quincy,access,disabilities,education,services,city
Joseph A. Boncore,education,public,access,housing,transportation,commonwealth,promote,safety,city,justice
Bradford Hill,public,safety,commonwealth,care,town,health,education,insurance,school,rights
Jeffrey Rosario Turco,public,revere,city,environmental,credit,facilities,disability,waste,safety,department
Nicholas A. Boldyga,public,commonwealth,sales,housing,town,school,children,insurance,benefits,program
Carolyn C. Dykema,health,public,commonwealth,safety,protect,services,access,special,education,care
William M. Straus,school,commonwealth,town,safety,access,cranberry,public,water,protect,care
Mark C. Montigny,care,health,protecting,prevent,safety,public,access,promote,bedford,transparency
Michael J. Rodrigues,town,department,health,commonwealth,insurance,sick,services,leave,bank,employee
Donald H. Wong,public,commonwealth,police,town,housing,safety,benefits,access,officers,veterans
Jamie Zahlaway Belsito,health,town,mental,recycling,maternal,program,rights,school,care,workforce
Todd M. Smola,public,commonwealth,safety,service,services,fund,education,town,benefits,state
Peter J. Durant,town,public,state,schools,police,department,employee,service,services,officers
Marc T. Lombardo,public,safety,veterans,children,commonwealth,health,protecting,benefits,sales,care
Patricia A. Haddad,health,commonwealth,department,public,education,school,services,access,care,creating
Kate Hogan,health,protect,access,care,public,commonwealth,promote,special,services,education
Ann-Margaret Ferrante,health,public,commonwealth,school,protect,safety,promote,access,education,commercial
Jerald A. Parisella,veterans,care,study,access,public,commonwealth,beverly,city,additional,resolve
Denise C. Garlick,health,care,public,commonwealth,safety,services,protect,access,education,children
Joseph F. Wagner,commonwealth,chicopee,department,city,public,employee,care,promote,sick,leave
Ronald Mariano,quincy,city,health,department,insurance,sick,leave,bank,employee,town
Thomas P. Kennedy,care,safety,public,commonwealth,education,health,foreclosure,access,services,school
Christine E. Canavan,care,health,safety,public,commonwealth,services,rights,provide,access,promote
Richard J. Ross,town,public,safety,state,education,commonwealth,property,department,services,employee
John W. Scibak,health,services,care,access,dental,insurance,protect,commonwealth,public,program
David B. Sullivan,care,health,public,promote,commonwealth,department,services,retirement,rights,regarding
