sponsor_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10
Daniel Hunt,distinctive,registration,plates,reduction,violence,promote,public,safety,protect,access
Josh Cutler,town,health,trust,duxbury,high,occupancy,treatment,police,veterans,behavioral
Jonathan Zlotnik,gardner,taxation,credit,unions,personal,finance,civic,responsibility,general,legal
Paul A. Schmid,agricultural,systems,commonwealth,property,land,promote,conservation,protecting,viability,farms
Jeffrey Roy,employee,sick,leave,bank,town,franklin,public,program,department,concerning
Kenneth Gordon,town,amending,sexual,burlington,civil,leave,assault,rape,child,actions
Brian S. Dempsey,city,haverhill,issuance,public,health,warnings,appointment,scott,marchand,firefighter
Sean Curran,protecting,promote,collective,bargaining,skills,commonwealth,care,april,patient,motor
Mary Keefe,employees,department,amend,retirement,benefits,parole,board,sick,leave,bank
Evandro Carvalho,promote,public,safety,protect,access,reproductive,health,care,facilities,
John Velis,taxation,inventory,manufacturing,acceptance,paper,mill,road,public,city,westfield
Rodney M. Elliott,health,public,care,safety,access,promote,education,services,commonwealth,promoting
James C. Arena-DeRosa,health,public,commonwealth,care,access,promote,education,services,program,promoting
Christopher J. Worrell,care,health,public,access,wage,services,promote,improve,transparency,workers
Margaret R. Scarsdale,access,health,public,care,services,commonwealth,program,school,safety,promote
Christopher Richard Flanagan,care,health,public,access,education,promote,transparency,wage,community,benefits
Manny Cruz,access,public,care,education,health,promote,commonwealth,promoting,american,school
Simon Cataldo,commonwealth,public,access,health,town,care,school,protect,climate,education
Robyn K. Kennedy,health,access,care,education,town,public,special,promote,sick,leave
Steven Owens,public,access,health,commonwealth,care,protect,promote,school,safety,climate
Steven George Xiarhos,veterans,public,violence,domestic,police,safety,commonwealth,services,retirement,assault
Samantha Monta?o,access,health,public,care,commonwealth,housing,services,promoting,program,promote
Alyson M. Sullivan-Almeida,public,victims,violence,officers,safety,domestic,sexual,commonwealth,prohibiting,service
Marcus S. Vaughn,public,police,safety,health,town,commonwealth,wrentham,school,officers,education
Pavel Payano,health,public,access,care,education,commonwealth,through,school,promoting,climate
Judith A. Garcia,access,housing,program,health,promote,development,commonwealth,public,climate,care
Priscila S. Sousa,education,health,public,access,promote,assistance,solar,care,families,ensure
Rita A. Mendes,care,health,wage,corporate,promote,public,minimum,access,protect,improve
Shirley B. Arriaga,veterans,health,program,housing,promote,rights,workforce,protections,access,schools
Kristin E. Kassner,health,care,commonwealth,public,alzheimer,improve,access,dementia,program,protect
Jennifer Balinsky Armini,access,care,health,public,school,services,promote,municipal,protecting,wage
Meghan K. Kilcoyne,town,public,lancaster,health,police,equity,promoting,equitable,access,motor
Ryan M. Hamilton,health,public,education,safety,commonwealth,higher,access,care,school,mental
Aaron L. Saunders,public,town,access,commonwealth,protecting,state,solar,health,department,board
Adrianne Pusateri Ramos,health,care,access,public,protect,improve,programs,promote,sale,services
Kate Donaghue,health,public,access,commonwealth,town,municipal,establish,services,clean,treatment
Estela A. Reyes,care,health,access,commonwealth,education,promote,program,community,safety,public
William F. MacGregor,health,public,access,services,care,cancer,protection,promote,programs,sale
Francisco E. Paulino,police,methuen,city,advance,wage,minority,recruitment,program,improving,pediatric
Dawne Shand,health,access,care,public,commonwealth,promote,wage,supporting,services,child
John J. Marsi,dudley,town,safety,charlton,motor,administrator,sign,warrants,enhance,courts
John Francis Moran,access,promote,sale,care,free,banning,protecting,patient,regarding,expression
Steven L. Levy,commonwealth,public,health,children,insurance,offenders,municipal,housing,safety,requiring
Daniel K. Webster,reform,children,insurance,benefits,requiring,identification,health,public,increasing,safety
Demetrius J. Atsalis,motor,barnstable,rights,state,firearms,registry,energy,sewer,town,small
George T. Ross,safety,children,public,commonwealth,protection,access,veterans,education,requiring,offenders
Stephen Stat Smith,public,care,records,city,malden,safety,health,establish,provide,property
Steven A. Tolman,drug,health,treatment,children,education,schools,school,access,substance,abuse
Alice K. Wolf,care,health,education,commonwealth,public,access,program,services,promote,promoting
Christopher N. Speranzo,commonwealth,promote,insurance,education,provide,care,improving,economic,school,replacement
Joyce A. Spiliotis,care,protecting,health,public,schools,program,provide,hearing,coverage,prohibiting
Donald F. Humason,proclaiming,aviation,awareness,month,crossbows,registration,clinical,exercise,physiologists,gary
Richard Bastien,veterans,small,public,education,city,reform,reducing,voting,service,municipal
Geraldine M. Creedon,care,public,economic,school,service,promote,patient,providers,motor,provide
Paul Adams,reform,insurance,reducing,businesses,improving,public,offenders,motor,children,parole
Steven A. Baddour,city,town,safety,enhance,protecting,newburyport,service,sick,leave,bank
David M. Torrisi,education,commonwealth,program,school,services,insurance,municipal,benefits,under,workers
Vincent A. Pedone,safety,collective,bargaining,mandatory,restaurant,rejuvenation,patient,registration,voters,provide
Kevin Aguiar,care,program,projects,economic,development,food,payment,ambulance,services,financial
James E. Vallee,care,combat,economic,registry,those,norfolk,county,commissioners,borrow,money
Harriett L. Stanley,town,newbury,department,groveland,bridge,establishment,fire,sick,leave,bank
Frederick E. Berry,health,insurance,care,retirement,communities,road,town,housing,safety,public
Charles A. Murphy,town,vertical,reciprocating,conveyors,political,spending,wilmington,special,update,public
Mathew Muratore,health,care,children,access,public,veterans,commonwealth,treatment,services,school
Paul Tucker,public,health,salem,city,police,safety,access,services,care,sale
Carmine L. Gentile,health,education,commonwealth,access,public,care,protect,program,safety,town
Evandro C. Carvalho,public,commonwealth,health,protect,housing,special,safety,promote,community,regarding
Carlos Gonzalez,health,care,commonwealth,education,access,workers,mental,public,special,motor
Jose F. Tosado,health,access,care,services,workers,commonwealth,education,department,children,promote
Bradford R. Hill,education,public,commonwealth,safety,housing,offenders,town,special,state,care
Susannah M. Whipps Lee,commonwealth,special,town,public,fees,safety,state,athol,corporate,persons
Gerard Cassidy,health,program,care,public,commonwealth,services,insurance,benefits,housing,facilities
Kate D. Campanale,health,schools,public,department,protecting,state,access,sick,leave,bank
Patrick O'Connor,police,officers,town,protect,process,strengthen,public,safety,overdose,fatalities
Michael Day,increase,facilities,access,recycling,municipal,special,fund,stoneham,energy,siting
Adrian Madaro,access,health,public,promote,care,protect,commonwealth,protecting,income,ensure
Bud Williams,access,health,public,commonwealth,establish,care,community,children,education,development
Jack Lewis,health,public,access,education,commonwealth,care,program,protecting,services,promote
Brian Murray,health,public,access,protect,services,insurance,commonwealth,care,program,community
Dylan Fernandes,access,public,nantucket,town,promote,community,health,safety,protect,energy
Natalie Higgins,health,public,commonwealth,promote,education,services,ensure,access,program,protect
Solomon Goldstein-Rose,health,access,promote,energy,commonwealth,education,promoting,public,protecting,services
Juana B. Matias,public,access,commonwealth,health,protect,care,education,children,services,justice
John Barrett,service,protecting,town,exempting,positions,police,department,civil,consumers,prohibiting
William Driscoll,safety,health,protect,public,establish,wage,care,transparency,study,communities
William Crocker,town,barnstable,felonious,assault,battery,police,officer,sewer,construction,private
